path,count,first_seen,last_seen,status,sample_ip
/%25252F%25253Fphpinfo%25253D1,6,2026-08-24T12:10:31+00:00,2026-09-05T03:42:51+00:00,404,172.71.127.18
/%25252F.env,4,2026-08-24T12:10:31+00:00,2026-09-05T03:42:50+00:00,404,172.71.127.18
/%25252F.env.example,4,2026-08-24T12:10:31+00:00,2026-09-05T03:42:49+00:00,404,172.71.127.17
/%25252Fwp-content,2,2026-08-24T12:13:36+00:00,2026-08-24T23:56:03+00:00,404,172.69.222.112
/%252F%253Fphpinfo%253D1,6,2026-08-24T12:10:31+00:00,2026-09-05T03:42:51+00:00,404,172.71.127.17
/%252F.aws%252Fconfig,4,2026-08-24T12:10:29+00:00,2026-09-05T03:42:45+00:00,404,172.71.127.17
/%252F.aws%252Fcredentials,6,2026-08-24T12:10:28+00:00,2026-09-05T03:42:45+00:00,404,172.71.127.17
/%252F.aws/config,2,2026-08-28T08:58:50+00:00,2026-08-29T05:53:14+00:00,404,172.71.126.166
/%252F.aws/sso/cache,2,2026-08-28T08:58:50+00:00,2026-08-29T05:53:13+00:00,404,172.71.126.166
/%252F.env,6,2026-08-24T12:10:31+00:00,2026-09-05T03:42:50+00:00,404,172.71.127.18
/%252F.env.example,4,2026-08-24T12:10:31+00:00,2026-09-05T03:42:49+00:00,404,172.71.127.18
/%252F.git,2,2026-08-28T08:56:25+00:00,2026-08-29T05:52:30+00:00,403,172.71.126.167
/%252F.github%252Fworkflows,4,2026-08-24T12:10:29+00:00,2026-09-05T03:42:47+00:00,403,172.71.127.18
/%252F.gitlab-ci.yml,4,2026-08-24T12:10:29+00:00,2026-09-05T03:42:47+00:00,403,172.71.127.18
/%252F.next/build-manifest.json,2,2026-08-28T08:57:04+00:00,2026-08-29T05:53:05+00:00,404,172.71.126.166
/%252F.next/prerender-manifest.json,2,2026-08-28T08:57:04+00:00,2026-08-29T05:53:05+00:00,404,172.71.126.166
/%252F.next/routes-manifest.json,2,2026-08-28T08:57:04+00:00,2026-08-29T05:53:05+00:00,404,172.71.126.166
/%252F.vercel/output/config.json,2,2026-08-28T08:57:05+00:00,2026-08-29T05:53:06+00:00,404,172.71.126.166
/%252F_profiler,2,2026-08-28T08:58:57+00:00,2026-08-29T05:54:42+00:00,404,141.101.69.92
/%252F_profiler/empty/search,2,2026-08-28T08:58:59+00:00,2026-08-29T05:54:44+00:00,404,141.101.69.92
/%252F_profiler/latest,2,2026-08-28T08:58:58+00:00,2026-08-29T05:54:43+00:00,404,141.101.69.92
/%252F_profiler/phpinfo,2,2026-08-28T08:58:58+00:00,2026-08-29T05:54:43+00:00,404,141.101.69.92
/%252F_profiler/search,2,2026-08-28T08:58:59+00:00,2026-08-29T05:54:44+00:00,404,141.101.69.92
/%252Factuator,2,2026-08-28T08:56:26+00:00,2026-08-29T05:52:30+00:00,404,172.71.126.167
/%252Factuator/beans,1,2026-08-28T08:59:18+00:00,2026-08-28T08:59:18+00:00,404,172.71.127.63
/%252Factuator/configprops,1,2026-08-28T08:59:18+00:00,2026-08-28T08:59:18+00:00,404,172.71.127.63
/%252Factuator/env,1,2026-08-28T08:59:17+00:00,2026-08-28T08:59:17+00:00,404,172.71.127.63
/%252Factuator/health,1,2026-08-28T08:59:16+00:00,2026-08-28T08:59:16+00:00,404,172.71.127.63
/%252Factuator/heapdump,1,2026-08-28T08:59:18+00:00,2026-08-28T08:59:18+00:00,404,172.71.127.63
/%252Factuator/info,1,2026-08-28T08:59:17+00:00,2026-08-28T08:59:17+00:00,404,172.71.127.63
/%252Factuator/mappings,1,2026-08-28T08:59:17+00:00,2026-08-28T08:59:17+00:00,404,172.71.127.63
/%252Fapp_dev.php,2,2026-08-28T08:56:29+00:00,2026-08-29T05:52:33+00:00,404,172.71.126.167
/%252Fapp_dev.php/_profiler,2,2026-08-28T08:59:00+00:00,2026-08-29T05:54:45+00:00,404,141.101.69.92
/%252Fcgi-bin,2,2026-08-28T08:56:24+00:00,2026-08-29T05:52:29+00:00,404,172.71.126.167
/%252Fconfig.php,2,2026-08-28T08:59:00+00:00,2026-08-29T05:54:45+00:00,404,141.101.69.92
/%252Findex_dev.php,2,2026-08-28T08:56:28+00:00,2026-08-29T05:52:32+00:00,404,172.71.126.167
/%252Findex_dev.php/_profiler,2,2026-08-28T08:59:00+00:00,2026-08-29T05:54:45+00:00,404,141.101.69.92
/%252Fphpinfo,2,2026-08-28T08:56:41+00:00,2026-08-29T05:52:44+00:00,404,172.71.126.166
/%252Ftelescope,3,2026-08-24T12:13:12+00:00,2026-08-30T08:42:21+00:00,404,172.71.123.98
/%252Fwp-content,4,2026-08-24T12:13:36+00:00,2026-08-29T05:52:34+00:00,404,172.71.126.167
/%252Fwp-content%252Fdebug.log,4,2026-08-24T12:10:30+00:00,2026-09-05T03:42:49+00:00,404,172.71.127.17
/%252Fwp-content%252Fuploads,4,2026-08-24T12:11:51+00:00,2026-09-05T03:46:24+00:00,404,172.71.127.17
/%252Fwp-json%252Fwp%252Fv2%252Fusers,4,2026-08-24T12:10:30+00:00,2026-09-05T03:42:49+00:00,404,172.71.127.18
/%252Fwp-login.php,4,2026-08-24T12:10:30+00:00,2026-09-05T03:42:48+00:00,404,172.71.127.18
/%252f%3f%3dphpinfo,4,2026-08-24T12:10:42+00:00,2026-09-05T03:43:19+00:00,404,172.71.127.18
/%252f%3fpage%3dphpinfo,4,2026-08-24T12:10:43+00:00,2026-09-05T03:43:20+00:00,404,172.71.127.17
/%252f%3fphpinfo%3d1,4,2026-08-24T12:10:43+00:00,2026-09-05T03:43:21+00:00,404,172.71.127.17
/%252f.aws%252fcredentials,6,2026-08-24T12:10:43+00:00,2026-09-05T03:43:21+00:00,404,172.71.127.18
/%252f.backup%252f.env,4,2026-08-24T12:10:43+00:00,2026-09-05T03:43:21+00:00,404,172.71.127.17
/%252f.backup%252fphpinfo.php,4,2026-08-24T12:10:43+00:00,2026-09-05T03:43:22+00:00,404,172.71.127.17
/%252f.docker%252f.env,4,2026-08-24T12:10:43+00:00,2026-09-05T03:43:22+00:00,404,172.71.127.17
/%252f.env,4,2026-08-24T12:10:43+00:00,2026-09-05T03:43:22+00:00,404,172.71.127.17
/%252f.env.dist,4,2026-08-24T12:10:43+00:00,2026-09-05T03:43:22+00:00,404,172.71.127.17
/%252f.env.local.php,4,2026-08-24T12:10:43+00:00,2026-09-05T03:43:23+00:00,404,172.71.127.18
/%252f.environment,4,2026-08-24T12:10:44+00:00,2026-09-05T03:43:23+00:00,404,172.71.127.17
/%252f.git%252fconfig,6,2026-08-24T12:10:44+00:00,2026-09-05T03:43:23+00:00,403,172.71.127.17
/%252f.next%252fbuild-manifest.json,4,2026-08-24T12:10:44+00:00,2026-09-05T03:43:24+00:00,404,172.71.127.18
/%252f.next%252fprerender-manifest.json,4,2026-08-24T12:10:44+00:00,2026-09-05T03:43:24+00:00,404,172.71.127.17
/%252f.next%252froutes-manifest.json,4,2026-08-24T12:10:44+00:00,2026-09-05T03:43:24+00:00,404,172.71.127.18
